orcid,nome,genero
orcid.org/0000-0001-8309-6367,Ariadne Carvalho,Feminino
orcid.org/0000-0001-8318-1780,Jose F Rodrigues Jr,Masculino
orcid.org/0000-0001-8515-0582,Helio Waldman,Masculino
orcid.org/0000-0001-8522-2056,Silvio GUIMARAES,Masculino
orcid.org/0000-0001-8585-706X,Wilmar Yesid Campo Muñoz,Masculino
orcid.org/0000-0001-8597-4987,Ronaldo Prati,Masculino
orcid.org/0000-0001-8657-3800,Joel Rodrigues,Masculino
orcid.org/0000-0001-8785-5906,Ricardo Fukasawa,Masculino
orcid.org/0000-0001-8793-3185,Juliana Fracarolli,Feminino
orcid.org/0000-0001-8824-3055,Alexandro Baldassin,Masculino
orcid.org/0000-0001-8837-5912,Manoelito Ferreira Silva Junior,Masculino
orcid.org/0000-0001-8881-1657,Roberto Sadao Yokoyama,Masculino
orcid.org/0000-0001-8923-0432,Tomasz Kowaltowski,Masculino
orcid.org/0000-0001-8956-8660,Lisandro Zambenedetti Granville,Masculino
orcid.org/0000-0001-8969-4683,Alexandre Braga,Masculino
orcid.org/0000-0001-9068-938X,Sandra Avila,Feminino
orcid.org/0000-0001-9084-7173,clarissa yasuda,Feminino
orcid.org/0000-0001-9097-827X,Reinaldo A. C. Bianchi,Masculino
orcid.org/0000-0001-9152-0658,Ricardo Caceffo,Masculino
orcid.org/0000-0001-9174-2816,Joao C. Setubal,Masculino
orcid.org/0000-0001-9176-8709,Kamila Rios da Hora Rodrigues,Feminino
orcid.org/0000-0001-9193-2302,Luiz Maciel,Masculino
orcid.org/0000-0001-9241-2229,Marco A. Amaral Henriques,Masculino
orcid.org/0000-0001-9242-2806,Routo Terada,Masculino
orcid.org/0000-0001-9264-5380,Ivani Rodrigues Silva,Feminino
orcid.org/0000-0001-9305-5323,Damires Souza,Feminino
orcid.org/0000-0001-9319-9829,Levy Boccato,Masculino
orcid.org/0000-0001-9336-9568,Fernando Cendes,Masculino
orcid.org/0000-0001-9448-2036,Robson De Grande,Masculino
orcid.org/0000-0001-9502-1362,Paulo Sérgio Santos,Masculino
orcid.org/0000-0001-9504-496X,Ferrucio de Franco Rosa,Masculino
orcid.org/0000-0001-9538-9538,Cristiano Torezzan,Masculino
orcid.org/0000-0001-9577-9309,Eduardo Morais,Masculino
orcid.org/0000-0001-9584-9477,Karine Laura Cortellazzi,Feminino
orcid.org/0000-0001-9625-5259,Itana Gimenes,Feminino
orcid.org/0000-0001-9669-2352,Carlos Lucena,Masculino
orcid.org/0000-0001-9722-5764,Nina S. T. Hirata,Feminino
orcid.org/0000-0001-9756-378X,Gustavo Figueiredo,Masculino
orcid.org/0000-0001-9772-263X,Ricardo Torres,Masculino
orcid.org/0000-0001-9820-6047,TOMMASO ZOPPI,Masculino
orcid.org/0000-0001-9878-0380,André Constantino da Silva,Masculino
orcid.org/0000-0001-9886-3506,Ana Estela Antunes da Silva,Feminino
orcid.org/0000-0001-9892-740X,Eleri Cardozo,Masculino
orcid.org/0000-0001-9924-0079,Fabio Protti,Masculino
orcid.org/0000-0002-0108-7246,Felipe Moura,Masculino
orcid.org/0000-0002-0145-5571,Francisco Rodrigues,Masculino
orcid.org/0000-0002-0171-4430,Otávio A. B. Penatti,Masculino
orcid.org/0000-0002-0173-4140,César Beltrán Castañón,Masculino
orcid.org/0000-0002-0189-8540,Alexandre Gonçalves Silva,Masculino
orcid.org/0000-0002-0210-0908,Ricardo  Pannain,Masculino
orcid.org/0000-0002-0236-0689,Eduardo Camponogara,Masculino
orcid.org/0000-0002-0323-9207,Antonio Carlos Rodrigues de Amorim,Masculino
orcid.org/0000-0002-0349-7441,Said Sadique Adi,Masculino
orcid.org/0000-0002-0357-8655,Eduardo Oliveira Freire,Masculino
orcid.org/0000-0002-0375-1657,Fernando Magno Quintão Pereira,Masculino
orcid.org/0000-0002-0456-7640,Lin Tzy Li,Feminino
orcid.org/0000-0002-0472-4810,Rafael C. S. Schouery,Masculino
orcid.org/0000-0002-0483-3435,Leyza Dorini,Feminino
orcid.org/0000-0002-0503-7297,,
orcid.org/0000-0002-0512-506X,Alexandre Ferreira,Masculino
orcid.org/0000-0002-0517-1496,Gustavo Fraidenraich,Masculino
orcid.org/0000-0002-0527-1083,Renato Vicentini,Masculino
orcid.org/0000-0002-0689-2703,Eric Rohmer,Masculino
orcid.org/0000-0002-0713-0583,Fabrício Silva,Masculino
orcid.org/0000-0002-0746-4014,Antonio Tadeu Azevedo Gomes,Masculino
orcid.org/0000-0002-0796-3868,Fátima Mattiello-Francisco,Feminino
orcid.org/0000-0002-0876-0501,Thales Sehn Körting,Masculino
orcid.org/0000-0002-0968-5320,Anderson Anjos da Silva,Masculino
orcid.org/0000-0002-1067-6421,Flávio K. Miyazawa,Masculino
orcid.org/0000-0002-1095-6714,José Marcos Silva Nogueira,Masculino
orcid.org/0000-0002-1156-8270,Jayme Barbedo,Masculino
orcid.org/0000-0002-1163-9980,Liria Sato,Feminino
orcid.org/0000-0002-1180-2637,Edmundo Madeira,Masculino
orcid.org/0000-0002-1277-9336,Hana Rubinsztejn,Feminino
orcid.org/0000-0002-1287-8019,Paulo Oliveira,Masculino
orcid.org/0000-0002-1310-0997,Peter Schwabe,Masculino
orcid.org/0000-0002-1347-186X,Jose Armando Valente,Masculino
orcid.org/0000-0002-1386-4794,Alex Galoro,Masculino
orcid.org/0000-0002-1404-398X,Lúcio Tunes Santos,Masculino
orcid.org/0000-0002-1445-1238,Emanuel Felipe Duarte,Masculino
orcid.org/0000-0002-1534-5744,Paula Dornhofer Paro Costa,Feminino
